ticker,publish_date,period_end,EPSDiluted,StockholdersEquity,AvgDilutedSharesOutstanding,Revenue,CommonStockDividendsPerShare
MSFT,2020-01-29,2019-12-31,1.51,110109000000,7691000000,36906000000,0.51
MSFT,2019-10-23,2019-09-30,1.38,106061000000,7710000000,33055000000,0.51
MSFT,2019-08-01,2019-06-30,1.71,102330000000,7734000000,33717000000,0.46
MSFT,2019-04-24,2019-03-31,1.14,94864000000,7744000000,30571000000,0.46
MSFT,2019-08-01,2019-06-30,5.06,102330000000,7753000000,125843000000,1.84
MSFT,2019-01-30,2018-12-31,1.08,92128000000,7768000000,32471000000,0.46
MSFT,2018-10-24,2018-09-30,1.14,85967000000,7766000000,29084000000,0.46
MSFT,2018-08-03,2018-06-30,1.14,82718000000,7873000000,30085000000,0.42
MSFT,2018-04-26,2018-03-31,0.95,79239000000,7794000000,26819000000,0.42
MSFT,2018-08-03,2018-06-30,2.13,82718000000,7794000000,110360000000,1.68
MSFT,2018-01-31,2017-12-31,-0.82,78360000000,7710000000,28918000000,0.42
MSFT,2017-10-26,2017-09-30,0.84,89647000000,7799000000,24538000000,0.42
MSFT,2017-08-02,2017-06-30,1.03,87711000000,7809000000,25605000000,0.39
MSFT,2017-04-27,2017-03-31,0.7,83491000000,7813000000,23212000000,0.39
MSFT,2017-08-02,2017-06-30,3.25,87711000000,7832000000,96571000000,1.56
MSFT,2017-01-26,2016-12-31,0.8,81829000000,7830000000,25826000000,0.39
NVDA,2025-08-27,2025-07-27,1.08,100131000000,24532000000,46743000000,0.01
NVDA,2025-05-28,2025-04-27,0.76,83843000000,24611000000,44062000000,0.01
NVDA,2025-02-26,2025-01-26,2.94,79327000000,24804000000,130497000000,0.034
NVDA,2025-02-26,2025-01-26,0.9,79327000000,47105000000,39331000000,0.01
NVDA,2024-11-20,2024-10-27,0.78,65899000000,24774000000,35082000000,0.01
NVDA,2024-08-28,2024-07-28,0.67,58157000000,24848000000,30040000000,0.01
NVDA,2024-05-29,2024-04-28,5.98,49142000000,2489000000,26044000000,0.04
NVDA,2024-02-21,2024-01-28,11.93,42978000000,2494000000,60922000000,0.16
NVDA,2024-02-21,2024-01-28,4.92,42978000000,2494000000,22103000000,0.04
NVDA,2023-11-21,2023-10-29,0.37,33265000000,24940000000,18120000000,0.004
NVDA,2023-08-28,2023-07-30,0.25,27501000000,24994000000,13507000000,0.004
NVDA,2023-05-26,2023-04-30,0.82,24520000000,2490000000,7192000000,0.04
